   3.2800000e-10   9.0700000e-02   7.2800000e-02   5.8600000e-02   4.1900000e-02
   7.8385000e-10   9.0800000e-02   7.2700000e-02   5.8700000e-02   4.0800000e-02
   1.7311000e-09   9.0700000e-02   7.3200000e-02   5.9100000e-02   4.0800000e-02
   3.6917000e-09   9.1300000e-02   7.2600000e-02   5.9000000e-02   4.1000000e-02
   7.7447000e-09   9.1200000e-02   7.3300000e-02   5.9000000e-02   4.1100000e-02
   1.6136000e-08   9.1400000e-02   7.3800000e-02   5.9400000e-02   4.1300000e-02
   3.3455000e-08   9.1700000e-02   7.4100000e-02   5.9700000e-02   4.1900000e-02
   6.9360000e-08   9.3000000e-02   7.5600000e-02   6.1000000e-02   4.3100000e-02
   1.4369000e-07   9.5300000e-02   7.7200000e-02   6.2600000e-02   4.4900000e-02
   2.9742000e-07   9.8100000e-02   8.1500000e-02   6.5500000e-02   4.8000000e-02
   6.1630000e-07   1.0060000e-01   8.3400000e-02   6.9000000e-02   5.1500000e-02
   1.2744000e-06   1.0490000e-01   8.8000000e-02   7.3900000e-02   5.6600000e-02
   2.6373000e-06   1.1070000e-01   9.5000000e-02   8.1200000e-02   6.4100000e-02
   5.4559000e-06   1.1890000e-01   1.0330000e-01   8.9700000e-02   7.2500000e-02
   1.1283000e-05   1.2910000e-01   1.1450000e-01   1.0030000e-01   8.1900000e-02
   2.3354000e-05   1.3960000e-01   1.2540000e-01   1.1020000e-01   9.1400000e-02
   4.8326000e-05   1.5020000e-01   1.3530000e-01   1.1910000e-01   1.0040000e-01
   9.9992000e-05   1.5930000e-01   1.4350000e-01   1.2690000e-01   1.0490000e-01
